Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[progenitor cell type]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_STRAND]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[stimulus]	Factor Value[sampling time point]	Unit[time unit]
SM27	ERS2599911	SAMEA4779966	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM27	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM27_4_S27	group 3	sequencing assay	ERX2700443	SM27_4_S27_R1_001.fastq.gz	SM27_4_S27_R1_001.fastq.gz	ERR2685843	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685843/ERR2685843.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM27	ERS2599911	SAMEA4779966	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM27	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM27_S27	group 3	sequencing assay	ERX2700443	SM27_S27_R1_001.fastq.gz	SM27_S27_R1_001.fastq.gz	ERR2685844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685844/ERR2685844.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	12	hour
SM13	ERS2599912	SAMEA4779967	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM13	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM13_2_S13	group 4	sequencing assay	ERX2700444	SM13_2_S13_R1_001.fastq.gz	SM13_2_S13_R1_001.fastq.gz	ERR2685845	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685845/ERR2685845.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM13	ERS2599912	SAMEA4779967	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM13	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM13_3_S13	group 4	sequencing assay	ERX2700444	SM13_3_S13_R1_001.fastq.gz	SM13_3_S13_R1_001.fastq.gz	ERR2685846	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685846/ERR2685846.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM13	ERS2599912	SAMEA4779967	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM13	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM13_4_S13	group 4	sequencing assay	ERX2700444	SM13_4_S13_R1_001.fastq.gz	SM13_4_S13_R1_001.fastq.gz	ERR2685847	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685847/ERR2685847.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM13	ERS2599912	SAMEA4779967	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM13	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM13_S13	group 4	sequencing assay	ERX2700444	SM13_S13_R1_001.fastq.gz	SM13_S13_R1_001.fastq.gz	ERR2685848	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685848/ERR2685848.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM14	ERS2599913	SAMEA4779968	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM14	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM14_2_S14	group 5	sequencing assay	ERX2700445	SM14_2_S14_R1_001.fastq.gz	SM14_2_S14_R1_001.fastq.gz	ERR2685849	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685849/ERR2685849.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM14	ERS2599913	SAMEA4779968	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM14	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM14_3_S14	group 5	sequencing assay	ERX2700445	SM14_3_S14_R1_001.fastq.gz	SM14_3_S14_R1_001.fastq.gz	ERR2685850	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685850/ERR2685850.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM14	ERS2599913	SAMEA4779968	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM14	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM14_4_S14	group 5	sequencing assay	ERX2700445	SM14_4_S14_R1_001.fastq.gz	SM14_4_S14_R1_001.fastq.gz	ERR2685851	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685851/ERR2685851.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM14	ERS2599913	SAMEA4779968	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM14	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM14_S14	group 5	sequencing assay	ERX2700445	SM14_S14_R1_001.fastq.gz	SM14_S14_R1_001.fastq.gz	ERR2685852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685852/ERR2685852.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM15	ERS2599914	SAMEA4779969	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM15	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM15_2_S15	group 6	sequencing assay	ERX2700446	SM15_2_S15_R1_001.fastq.gz	SM15_2_S15_R1_001.fastq.gz	ERR2685853	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685853/ERR2685853.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM15	ERS2599914	SAMEA4779969	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM15	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM15_3_S15	group 6	sequencing assay	ERX2700446	SM15_3_S15_R1_001.fastq.gz	SM15_3_S15_R1_001.fastq.gz	ERR2685854	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685854/ERR2685854.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM15	ERS2599914	SAMEA4779969	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM15	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM15_4_S15	group 6	sequencing assay	ERX2700446	SM15_4_S15_R1_001.fastq.gz	SM15_4_S15_R1_001.fastq.gz	ERR2685855	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685855/ERR2685855.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM15	ERS2599914	SAMEA4779969	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM15	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM15_S15	group 6	sequencing assay	ERX2700446	SM15_S15_R1_001.fastq.gz	SM15_S15_R1_001.fastq.gz	ERR2685856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685856/ERR2685856.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	2	hour
SM37	ERS2599915	SAMEA4779970	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM37	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM37_2_S37	group 7	sequencing assay	ERX2700447	SM37_2_S37_R1_001.fastq.gz	SM37_2_S37_R1_001.fastq.gz	ERR2685857	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685857/ERR2685857.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM37	ERS2599915	SAMEA4779970	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM37	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM37_3_S37	group 7	sequencing assay	ERX2700447	SM37_3_S37_R1_001.fastq.gz	SM37_3_S37_R1_001.fastq.gz	ERR2685858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685858/ERR2685858.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM37	ERS2599915	SAMEA4779970	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM37	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM37_4_S37	group 7	sequencing assay	ERX2700447	SM37_4_S37_R1_001.fastq.gz	SM37_4_S37_R1_001.fastq.gz	ERR2685859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685859/ERR2685859.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM37	ERS2599915	SAMEA4779970	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM37	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM37_S37	group 7	sequencing assay	ERX2700447	SM37_S37_R1_001.fastq.gz	SM37_S37_R1_001.fastq.gz	ERR2685860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685860/ERR2685860.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM38	ERS2599916	SAMEA4779971	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM38	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM38_2_S38	group 8	sequencing assay	ERX2700448	SM38_2_S38_R1_001.fastq.gz	SM38_2_S38_R1_001.fastq.gz	ERR2685861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685861/ERR2685861.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM38	ERS2599916	SAMEA4779971	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM38	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM38_3_S38	group 8	sequencing assay	ERX2700448	SM38_3_S38_R1_001.fastq.gz	SM38_3_S38_R1_001.fastq.gz	ERR2685862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685862/ERR2685862.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM38	ERS2599916	SAMEA4779971	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM38	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM38_4_S38	group 8	sequencing assay	ERX2700448	SM38_4_S38_R1_001.fastq.gz	SM38_4_S38_R1_001.fastq.gz	ERR2685863	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685863/ERR2685863.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
